com.re.ecommerce.common.audit.entity.AuditLog$AuditLogBuilder => Instr: 47, Branch: 1
com.re.ecommerce.common.audit.entity.AuditLog => Instr: 91, Branch: 0
com.re.ecommerce.config.JpaConfig => Instr: 1, Branch: 2
com.re.ecommerce.security.JwtUtils => Instr: 3, Branch: 0
com.re.ecommerce.security.JwtAuthenticationFilter => Instr: 1, Branch: 4
com.re.ecommerce.modules.catalog.service.impl.CategoryServiceImpl => Instr: 16, Branch: 9
com.re.ecommerce.modules.catalog.controller.CategoryController => Instr: 14, Branch: 0
com.re.ecommerce.modules.customer.service.ShippingAddressService => Instr: 8, Branch: 5
com.re.ecommerce.modules.auth.controller.AuthController => Instr: 23, Branch: 3
com.re.ecommerce.modules.auth.controller.AdminUserController => Instr: 27, Branch: 0
com.re.ecommerce.common.audit.service.AuditLogger => Instr: 7, Branch: 5
com.re.ecommerce.modules.staff.service.StaffService => Instr: 28, Branch: 6
com.re.ecommerce.modules.staff.service.PositionService => Instr: 34, Branch: 4
com.re.ecommerce.modules.staff.service.DepartmentService => Instr: 0, Branch: 2
com.re.ecommerce.modules.staff.service.RoleService => Instr: 114, Branch: 8
com.re.ecommerce.modules.customer.mapper.ShippingAddressMapper => Instr: 2, Branch: 1
com.re.ecommerce.common.utils.SlugUtils => Instr: 14, Branch: 4
com.re.ecommerce.modules.staff.controller.RoleAssignmentController => Instr: 14, Branch: 2
com.re.ecommerce.modules.staff.controller.RoleController => Instr: 30, Branch: 0
com.re.ecommerce.modules.staff.controller.StaffController => Instr: 28, Branch: 0
com.re.ecommerce.modules.staff.controller.DepartmentController => Instr: 23, Branch: 0
com.re.ecommerce.modules.auth.service.impl.UserServiceImpl => Instr: 283, Branch: 51
com.re.ecommerce.modules.auth.service.impl.AuthServiceImpl => Instr: 25, Branch: 15
com.re.ecommerce.common.dto.PagedResponse$PageMetadata => Instr: 123, Branch: 14
com.re.ecommerce.common.dto.PagedResponse$PageMetadata$PageMetadataBuilder => Instr: 10, Branch: 0
com.re.ecommerce.common.dto.PagedResponse$PagedResponseBuilder => Instr: 8, Branch: 0
com.re.ecommerce.common.dto.PagedResponse => Instr: 111, Branch: 22

